
title,description,price,count
iPhone 15,Apple smartphone with A17 chip,999,5
MacBook Air M3,Apple laptop with M3 processor,1599,3
AirPods Pro 2,Noise cancelling wireless earbuds,249,10
iPad Pro 13,Apple tablet with M4 chip,1299,4
Apple Watch Ultra 2,Advanced smartwatch for outdoor sports,799,6
Samsung Galaxy S24,Android flagship smartphone,899,7
Dell XPS 15,High performance Windows laptop,1799,2
Sony WH-1000XM5,Premium noise cancelling headphones,399,8
Logitech MX Master 3S,Wireless ergonomic mouse,129,15
Kindle Paperwhite,E-reader with backlight display,149,12
